证券代码,证券简称,上市日期,首次ST时间,time,status,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
600385.SH,*ST金泰,2001年7月23日,2003年4月9日,625,1,2.5572,7.2991,6.4097,6.8772,4.7842,7.2991,6.0382,2.0172,0.305,0.7011,1.2142,1.5986,0.399,1.2764,0.8308,52.2269,1.1677,0.2286,1.1457,-0.6415,-18.099,4.4154,0.7059,6859613.03,0.1203,6.2836,-0.96,1.32,0.0485,0.1206
000980.SZ,众泰汽车,2000年6月16日,2003年4月10日,1028,1,-1.8502,-13.6569,-7.7212,-5.9536,0.1671,-13.6569,-3.424,3.4794,1.8713,0.2856,1.365,1.5233,0.2396,1.7006,1.4707,53.3565,1.6067,0.6241,1.1439,-30.0437,-319.2057,-0.857,43.2289,-139994594,-0.0586,-3.1269,-0.11,3.08,-0.9333,2.0079
600234.SH,*ST山水,2000年6月15日,2003年4月17日,1036,1,-12.1175,-49.7551,-48.9714,-32.2947,-6.96,-49.7551,-31.0524,5.8783,0.4049,0.5918,1.4877,1.2507,0.2474,0.7552,0.48,67.5843,0.5841,0.3371,2.0849,-63.3699,-584.6656,-23.6946,66.4832,-108388608.1,-0.0131,-0.8832,-0.73,2.35,-1.1548,1.931
000995.SZ,*ST皇台,2000年8月7日,2004年4月19日,1351,1,-1.8153,-8.1267,-11.434,-12.0278,0.0492,-8.1267,-2.6506,1.4308,0.6423,0.3211,0.7535,0.5987,0.1588,1.455,1.0154,30.5024,3.9369,0.0142,0.4444,-31.5785,-514.5993,-2.5449,-3.1243,-27334732.46,-0.0408,-1.2437,-0.08,3.21,-0.1952,2.083
600516.SH,方大炭素,2002年8月30日,2006年4月26日,1335,1,-5.4064,-14.5483,-14.6864,-12.9731,-3.0536,-14.5483,-12.1825,3.8186,1.7425,0.5264,3,1.2664,0.3681,1.3236,0.8673,54.4224,1.3452,0.2447,1.2433,45.3115,-500.252,-10.8596,-5.3816,-244561482.6,-0.0317,-1.7239,-0.42,3.47,-1.2228,2.2489
600429.SH,三元股份,2003年9月15日,2006年5月8日,966,1,-8.7677,-12.7799,-12.6309,-11.4333,-8.792,-12.7799,-16.0464,7.5975,1.6077,1.837,1.5884,4.5323,0.6941,1.0537,0.8375,38.2651,3.0583,0.375,0.6478,0.1538,-757.4062,-14.4743,-15.8893,2877238,0.0876,3.3508,-0.2,1.23,0.0045,0.3561
600419.SH,天润乳业,2001年6月28日,2006年5月9日,1776,1,-2.5113,-10.1355,-8.8237,-8.0383,-2.3253,-10.1355,-4.7779,2.1003,1.1179,0.4063,1.8826,1.2854,0.2846,1.427,1.0542,48.6042,2.7943,0.4791,0.9597,-6.1528,-227.6501,-6.6159,6.4702,-45029125.61,-0.0859,-4.1766,-0.165,3.45,-0.5617,2.177
600984.SH,建设机械,2004年7月7日,2007年4月6日,1003,1,-5.5737,-12.3056,-12.3758,-11.0088,-3.5652,-12.3056,-12.2905,2.3058,1.592,0.6482,2.834,1.283,0.4504,1.3232,0.6537,49.946,1.3483,0.0977,0.9978,-4.8695,-372.4045,-16.1769,-17.1808,-206716567.4,-0.1767,-8.8276,-0.35,2.85,-1.4603,1.8217
000982.SZ,*ST中绒,2000年7月6日,2007年4月13日,2472,1,-16.2053,-67.955,-63.7845,-37.969,-16.613,-67.955,-70.9262,1.4214,1.9622,0.3127,1.9211,0.795,0.2541,1.2064,0.7047,70.0423,0.4344,0.0514,3.1174,-44.488,-2016.7412,-42.0621,-19.3955,1355303.54,0.0728,5.1024,-1.08,1.52,0.0092,1.3457
600568.SH,中珠医疗,2001年5月18日,2007年4月19日,2162,1,-3.2157,-3.8233,-4.2703,-4.069,-1.721,-3.8233,-8.5424,3.2387,2.6287,1.2396,7.4225,3.3812,0.7531,1.1975,0.7498,59.5925,1.543,0.1738,1.856,793.7074,-490.9166,-6.2886,79.2057,37023114.54,0.0695,4.1413,-0.35,4.06,0.3388,2.7106
